item_type,item_text,rank,matched_testcase_id,similarity_score,matched_testcase_text
flow,"main program -> routine 1 — type=flow; label=""start""; explanation=""initiates the program flow"";",1,TC-Login-001,0.7317430377006531,"test case id: tc-login-001 title: successful login module: login source pages: 3 preconditions: user has valid credentials. test data: username: testuser, password: testpassword test steps: 1. enter the username and password. 2. click on the login button. 3. verify that the system redirects to the main page. expected result: user is successfully logged in and redirected to the main page."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",8,TC-Login-002,0.6942398548126221,"test case id: tc-login-002 title: incorrect login credentials module: login source pages: 3 preconditions: user enters incorrect credentials. test data: username: wronguser, password: wrongpassword test steps: 1. enter the incorrect username and password. 2. click on the login button. 3. verify that an error message is displayed. expected result: an error message is displayed, and the user remains on the login page."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",9,TC-InserimentoInput-001,0.693982720375061,"test case id: tc-inserimentoinput-001 title: valid input and successful query execution module: inserimentoinput source pages: 4 preconditions: user provides valid input. test data: input: ""valid input"" test steps: 1. provide valid input. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the query is executed successfully, and no error message is displayed."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",10,TC-InserimentoInput-002,0.661134660243988,"test case id: tc-inserimentoinput-002 title: invalid input and query failure module: inserimentoinput source pages: 4 preconditions: user provides invalid input. test data: input: ""invalid input"" test steps: 1. provide invalid input. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is not executed. expected result: an error message is displayed, and the query is not executed."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",11,TC-EliminazioneOggettoServizio-002,0.65975022315979,"test case id: tc-eliminazioneoggettoservizio-002 title: failed database deletion and retry module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service but the database deletion fails. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",12,TC-EliminazioneAnnuncio-002,0.6513084173202515,"test case id: tc-eliminazioneannuncio-002 title: failed database deletion and retry module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement but the database deletion fails. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",13,TC-EliminazioneOggettoServizio-001,0.6241178512573242,"test case id: tc-eliminazioneoggettoservizio-001 title: successful deletion and database cancellation module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service to delete. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object or service is deleted successfully, and no error message is displayed."
flow,"main program -> routine 2 — type=flow; label=""start""; explanation=""initiates the program flow"";",14,TC-EliminazioneAnnuncio-001,0.6185139417648315,"test case id: tc-eliminazioneannuncio-001 title: successful deletion and database cancellation module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement to delete. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the announcement is deleted successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",1,TC-CreazioneAnnuncio-002,0.7272088527679443,"test case id: tc-creazioneannuncio-002 title: failed database insertion and retry module: creazioneannuncio source pages: 7 preconditions: user has all necessary information but the database insertion fails. test data: announcement details: title = ""test announcement"", object_id = 1 test steps: 1. provide all necessary information to create an announcement. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",2,TC-CreazioneOggetto-002,0.7255048155784607,"test case id: tc-creazioneoggetto-002 title: failed database insertion and retry module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information but the database insertion fails. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",3,TC-Login-001,0.7252039313316345,"test case id: tc-login-001 title: successful login module: login source pages: 3 preconditions: user has valid credentials. test data: username: testuser, password: testpassword test steps: 1. enter the username and password. 2. click on the login button. 3. verify that the system redirects to the main page. expected result: user is successfully logged in and redirected to the main page."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",4,TC-CreazioneOggetto-001,0.7232626080513,"test case id: tc-creazioneoggetto-001 title: successful creation and database insertion module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information to create an object. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object is created successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",5,TC-CreazioneAnnuncio-001,0.7179555296897888,"test case id: tc-creazioneannuncio-001 title: successful creation and database insertion module: creazioneannuncio source pages: 7 preconditions: user has all necessary information to create an announcement. test data: announcement details: title = ""test announcement"", object_id = 1 test steps: 1. provide all necessary information to create an announcement. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the announcement is created successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",6,TC-CreazioneServizio-002,0.7063652276992798,"test case id: tc-creazioneservizio-002 title: failed database insertion and retry module: creazioneservizio source pages: 6 preconditions: user has all necessary information but the database insertion fails. test data: service details: name = ""test service"", description = ""test description"" test steps: 1. provide all necessary information to create a service. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",7,TC-CreazioneServizio-001,0.7035424709320068,"test case id: tc-creazioneservizio-001 title: successful creation and database insertion module: creazioneservizio source pages: 6 preconditions: user has all necessary information to create a service. test data: service details: name = ""test service"", description = ""test description"" test steps: 1. provide all necessary information to create a service. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the service is created successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",8,TC-InserimentoInput-001,0.6940637230873108,"test case id: tc-inserimentoinput-001 title: valid input and successful query execution module: inserimentoinput source pages: 4 preconditions: user provides valid input. test data: input: ""valid input"" test steps: 1. provide valid input. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the query is executed successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",9,TC-Login-002,0.6885256767272949,"test case id: tc-login-002 title: incorrect login credentials module: login source pages: 3 preconditions: user enters incorrect credentials. test data: username: wronguser, password: wrongpassword test steps: 1. enter the incorrect username and password. 2. click on the login button. 3. verify that an error message is displayed. expected result: an error message is displayed, and the user remains on the login page."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",10,TC-InserimentoInput-002,0.6601676940917969,"test case id: tc-inserimentoinput-002 title: invalid input and query failure module: inserimentoinput source pages: 4 preconditions: user provides invalid input. test data: input: ""invalid input"" test steps: 1. provide invalid input. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is not executed. expected result: an error message is displayed, and the query is not executed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",11,TC-EliminazioneOggettoServizio-002,0.656688928604126,"test case id: tc-eliminazioneoggettoservizio-002 title: failed database deletion and retry module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service but the database deletion fails. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",12,TC-EliminazioneAnnuncio-002,0.6473424434661865,"test case id: tc-eliminazioneannuncio-002 title: failed database deletion and retry module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement but the database deletion fails. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",13,TC-EliminazioneOggettoServizio-001,0.6223584413528442,"test case id: tc-eliminazioneoggettoservizio-001 title: successful deletion and database cancellation module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service to delete. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object or service is deleted successfully, and no error message is displayed."
flow,"main program -> routine 3 — type=flow; label=""start""; explanation=""initiates the program flow"";",14,TC-EliminazioneAnnuncio-001,0.6170883178710938,"test case id: tc-eliminazioneannuncio-001 title: successful deletion and database cancellation module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement to delete. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the announcement is deleted successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",1,TC-CreazioneOggetto-002,0.7491070032119751,"test case id: tc-creazioneoggetto-002 title: failed database insertion and retry module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information but the database insertion fails. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",2,TC-CreazioneAnnuncio-002,0.7436618208885193,"test case id: tc-creazioneannuncio-002 title: failed database insertion and retry module: creazioneannuncio source pages: 7 preconditions: user has all necessary information but the database insertion fails. test data: announcement details: title = ""test announcement"", object_id = 1 test steps: 1. provide all necessary information to create an announcement. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",3,TC-CreazioneOggetto-001,0.7413902282714844,"test case id: tc-creazioneoggetto-001 title: successful creation and database insertion module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information to create an object. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object is created successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",4,TC-CreazioneServizio-002,0.7295916080474854,"test case id: tc-creazioneservizio-002 title: failed database insertion and retry module: creazioneservizio source pages: 6 preconditions: user has all necessary information but the database insertion fails. test data: service details: name = ""test service"", description = ""test description"" test steps: 1. provide all necessary information to create a service. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",5,TC-Login-001,0.726219117641449,"test case id: tc-login-001 title: successful login module: login source pages: 3 preconditions: user has valid credentials. test data: username: testuser, password: testpassword test steps: 1. enter the username and password. 2. click on the login button. 3. verify that the system redirects to the main page. expected result: user is successfully logged in and redirected to the main page."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",6,TC-CreazioneAnnuncio-001,0.7257540822029114,"test case id: tc-creazioneannuncio-001 title: successful creation and database insertion module: creazioneannuncio source pages: 7 preconditions: user has all necessary information to create an announcement. test data: announcement details: title = ""test announcement"", object_id = 1 test steps: 1. provide all necessary information to create an announcement. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the announcement is created successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",7,TC-InserimentoInput-001,0.7248082160949707,"test case id: tc-inserimentoinput-001 title: valid input and successful query execution module: inserimentoinput source pages: 4 preconditions: user provides valid input. test data: input: ""valid input"" test steps: 1. provide valid input. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the query is executed successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",8,TC-CreazioneServizio-001,0.7233786582946777,"test case id: tc-creazioneservizio-001 title: successful creation and database insertion module: creazioneservizio source pages: 6 preconditions: user has all necessary information to create a service. test data: service details: name = ""test service"", description = ""test description"" test steps: 1. provide all necessary information to create a service. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the service is created successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",9,TC-Login-002,0.6953099966049194,"test case id: tc-login-002 title: incorrect login credentials module: login source pages: 3 preconditions: user enters incorrect credentials. test data: username: wronguser, password: wrongpassword test steps: 1. enter the incorrect username and password. 2. click on the login button. 3. verify that an error message is displayed. expected result: an error message is displayed, and the user remains on the login page."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",10,TC-EliminazioneOggettoServizio-002,0.6875324249267578,"test case id: tc-eliminazioneoggettoservizio-002 title: failed database deletion and retry module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service but the database deletion fails. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",11,TC-InserimentoInput-002,0.6781274080276489,"test case id: tc-inserimentoinput-002 title: invalid input and query failure module: inserimentoinput source pages: 4 preconditions: user provides invalid input. test data: input: ""invalid input"" test steps: 1. provide invalid input. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is not executed. expected result: an error message is displayed, and the query is not executed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",12,TC-EliminazioneAnnuncio-002,0.6716117858886719,"test case id: tc-eliminazioneannuncio-002 title: failed database deletion and retry module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement but the database deletion fails. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",13,TC-EliminazioneOggettoServizio-001,0.6507729887962341,"test case id: tc-eliminazioneoggettoservizio-001 title: successful deletion and database cancellation module: eliminazioneoggettoservizio source pages: 9 preconditions: user selects an existing object or service to delete. test data: object/servizio id: 1 test steps: 1. select the object or service to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object or service is deleted successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.1 — type=flow; label=""execute""; explanation=""executes routine 1.1"";",14,TC-EliminazioneAnnuncio-001,0.6409414410591125,"test case id: tc-eliminazioneannuncio-001 title: successful deletion and database cancellation module: eliminazioneannuncio source pages: 8 preconditions: user selects an existing announcement to delete. test data: announcement id: 1 test steps: 1. select the announcement to delete. 2. click on the delete button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the announcement is deleted successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.2 — type=flow; label=""execute""; explanation=""executes routine 1.2"";",1,TC-CreazioneOggetto-002,0.7482632398605347,"test case id: tc-creazioneoggetto-002 title: failed database insertion and retry module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information but the database insertion fails. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.2 — type=flow; label=""execute""; explanation=""executes routine 1.2"";",2,TC-CreazioneAnnuncio-002,0.7432531714439392,"test case id: tc-creazioneannuncio-002 title: failed database insertion and retry module: creazioneannuncio source pages: 7 preconditions: user has all necessary information but the database insertion fails. test data: announcement details: title = ""test announcement"", object_id = 1 test steps: 1. provide all necessary information to create an announcement. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.2 — type=flow; label=""execute""; explanation=""executes routine 1.2"";",3,TC-CreazioneOggetto-001,0.7375041842460632,"test case id: tc-creazioneoggetto-001 title: successful creation and database insertion module: creazioneoggetto source pages: 5, 6 preconditions: user has all necessary information to create an object. test data: object details: name = ""test object"", description = ""test description"" test steps: 1. provide all necessary information to create an object. 2. click on the submit button. 3. verify that the query is executed successfully. 4. check that there is no error message. expected result: the object is created successfully, and no error message is displayed."
flow,"routine 1 -> routine 1.2 — type=flow; label=""execute""; explanation=""executes routine 1.2"";",4,TC-CreazioneServizio-002,0.7290380597114563,"test case id: tc-creazioneservizio-002 title: failed database insertion and retry module: creazioneservizio source pages: 6 preconditions: user has all necessary information but the database insertion fails. test data: service details: name = ""test service"", description = ""test description"" test steps: 1. provide all necessary information to create a service. 2. click on the submit button. 3. verify that an error message is displayed. 4. check that the query is retried. expected result: an error message is displayed, and the query is retried."
flow,"routine 1 -> routine 1.2 — type=flow; label=""execute""; explanation=""executes routine 1.2"";",5,TC-Login-001,0.7225619554519653,"test case id: tc-login-001 title: successful login module: login source pages: 3 preconditions: user has valid credentials. test data: username: testuser, password: testpassword test steps: 1. enter the username and password. 2. click on the login button. 3. verify that the system redirects to the main page. expected result: user is successfully logged in and redirected to the main page."
